"English","Русский язык","Esperanto"
"How much are the flights?","Сколько стоят перелёты?","Kiom kostas la flugoj?"
"An economy class ticket.","Билет эконом-класса.","Ekonomiklasa bileto"
"Is this a direct flight?","Это прямой рейс?","Ĉu ĉi tio estas rekta flugo?"
"Is there a stopover?","Есть остановка по пути?","Ĉu estas interhalto?"
"When is the flight to Rome?","Когда рейс в Рим?","Kiam estas la flugo al Romo?"
"Please check other airlines.","Пожалуйста, проверьте другие авиакомпании.","Bonvolu kontroli aliajn flugkompaniojn"
"A business class ticket.","Билет бизнес-класса.","Bileto de komerca klaso"
"What currency is this in?","В какой это валюте?","En kiu valuto ĉi tio estas?"
"What seats would you prefer?","Какие места вы бы предпочли?","Kiajn lokojn vi preferus?"
"Near the front.","В переднем ряду.","En la antaŭa vico"
"Near the back.","В заднем ряду.","En la malantaŭa vico"
"Please give me a receipt.","Пожалуйста, дайте мне квитанцию.","Bonvolu doni al mi kvitancon"
"Is the airport far from the city?","Аэропорт находится далеко от города?","Ĉu la flughaveno estas malproksime de la urbo?"
"I'd like to book a seat on this plane.","Я бы хотела забронировать место на этот самолёт.","Mi ŝatus rezervi lokon en ĉi tiu aviadilo"
"There are no more seats on this aeroplane.","На этот самолёт больше нет мест.","Sur ĉi tiu aviadilo ne plu estas lokoj"
"What is your destination?","Какое у вас направление?","Kio estas via celloko?"
"I'd like to travel to South Korea.","Я бы хотел поехать в Южную Корею.","Mi ŝatus vojaĝi al Sud-Koreio"
"Do I need a visa for Kenya?","Мне нужна виза в Кению?","Ĉu mi bezonas vizon por Kenio?"
"When is the next flight to Hanoi?","Когда следующий рейс в Ханой?","Kiam estas la sekva flugo al Hanojo?"
"How frequent are the flights?","Как часто выполняются рейсы?","Kiom ofte estas la flugoj?"
"What time does the flight leave?","Во сколько отправляется рейс?","Je kioma horo foriras la flugo?"
"How early must I be at the airport?","За сколько мне нужно прибыть в аэропорт?","Kiom frue mi devas esti ĉe la flughaveno?"
"How much luggage can I take?","Сколько багажа я могу взять?","Kiom da bagaĝo mi povas preni?"
"Where should I change planes?","Где мне следует пересесть на другой самолёт?","Kie mi devas ŝanĝi aviadilon?"
"Can I make a connection on the same day?","Я могу сделать пересадку в тот же день?","Ĉu mi povas fari la transiron en la sama tago?"
"I've come to collect my tickets.","Я пришёл забрать билеты.","Mi venis por preni miajn biletojn"
"On what days are there flights to Tehran?","По каким дням есть рейсы в Тегеран?","En kiuj tagoj estas flugoj al Teherano?"
"Please book the next flight to Amsterdam.","Пожалуйста, забронируйте ближайший рейс в Амстердам.","Bonvolu rezervi la sekvan flugon al Amsterdamo"
"I would like two business class tickets.","Я бы хотел два билета бизнес-класса.","Mi ŝatus du biletojn de komerca klaso"
"Would you like a window or an aisle seat?","Вы бы хотели место у окна или у прохода?","Ĉu vi ŝatus sidlokon ĉe la fenestro aŭ ĉe la koridoro?"
"How soon before the departure time do we have to arrive?","За сколько до отправления нам нужно приехать?","Kiom da tempo antaŭ la forveturo ni devas alveni?"
"I would like to cancel my ticket to Helsinki.","Я бы хотел вернуть свой билет до Хельсинки.","Mi ŝatus nuligi mian bileton al Helsinko"
"What flights are there to Turkey?","Какие рейсы есть в Турцию?","Kiuj flugoj estas al Turkio?"
"Are there any free seats on this flight?","На этот рейс есть свободные места?","Ĉu estas liberaj lokoj sur ĉi tiu flugo?"
"Does the flight make a stopover in another city?","Самолёт делает остановку в другом городе?","Ĉu la flugo faras halton en alia urbo?"
"How long does it take to make a connection?","Сколько времени занимает пересадка?","Kiom da tempo necesas por la transŝanĝo?"
"Can we do some shopping in the airport?","Мы можем пройтись по магазинам в аэропорту?","Ĉu ni povas iom butikumi en la flughaveno?"
"How much chocolate can I take through customs?","Сколько шоколада я могу пронести через таможню?","Kiom da ĉokolado mi povas porti tra la dogano?"
"When will you be coming back?","Когда вы вернётесь?","Kiam vi revenos?"
"Your passport, please.","Ваш паспорт, пожалуйста.","Vian pasporton, mi petas"
"Which terminal?","Какой терминал?","Kiu terminalo?"
"Which gate?","Какой выход?","Kiu elirejo?"
"Enjoy your flight!","Приятного полёта!","Agrablan flugon!"
"Where are you flying to?","Куда ты летишь?","Kien vi flugas?"
"I'm going to China.","Я лечу в Китай.","Mi flugas al Ĉinio"
"Where's the check-in?","Где стойка регистрации?","Kie estas la registrejo?"
"Where do I board?","Куда мне пройти на посадку?","Kie mi suriru?"
"Where is gate 1?","Где выход 1?","Kie estas elirejo 1?"
"Where is terminal A?","Где терминал А?","Kie estas terminalo A?"
"What time is your flight?","Во сколько ваш рейс?","Je kioma horo estas via flugo?"
